('08/04/2022 15:01:33', 'creation', 'python.exe', 11896)
('08/04/2022 15:01:33', 'creation', 'conhost.exe', 3608)
('08/04/2022 15:01:33', 'deletion', 'python.exe', 11896)
('08/04/2022 15:01:33', 'deletion', 'conhost.exe', 3608)
('08/04/2022 15:01:42', 'creation', 'python.exe', 11496)
('08/04/2022 15:01:42', 'creation', 'conhost.exe', 12080)
('08/04/2022 15:01:41', 'creation', 'conhost.exe', 7820)
('08/04/2022 15:01:41', 'creation', 'python.exe', 8996)
('08/04/2022 15:01:42', 'deletion', 'python.exe', 11496)
('08/04/2022 15:01:42', 'deletion', 'conhost.exe', 12080)
('08/04/2022 15:01:52', 'creation', 'dllhost.exe', 1784)
('08/04/2022 15:01:52', 'creation', 'dllhost.exe', 1784)
('08/04/2022 15:01:52', 'deletion', 'dllhost.exe', 1784)
('08/04/2022 15:02:26', 'creation', 'svchost.exe', 11476)
('08/04/2022 15:02:26', 'creation', 'python.exe', 11872)
('08/04/2022 15:02:26', 'creation', 'WerFault.exe', 4752)
('08/04/2022 15:02:26', 'creation', 'svchost.exe', 11476)
('08/04/2022 15:02:26', 'creation', 'python.exe', 11872)
('08/04/2022 15:02:26', 'creation', 'WerFault.exe', 4752)
('08/04/2022 15:02:29', 'creation', 'wermgr.exe', 9536)
('08/04/2022 15:02:26', 'deletion', 'python.exe', 11872)
('08/04/2022 15:02:26', 'deletion', 'WerFault.exe', 4752)
('08/04/2022 15:01:41', 'deletion', 'conhost.exe', 7820)
('08/04/2022 15:01:41', 'deletion', 'python.exe', 8996)
('08/04/2022 15:02:29', 'deletion', 'wermgr.exe', 9536)
('08/04/2022 15:03:01', 'creation', 'FileCoAuth.exe', 7228)
('08/04/2022 15:03:04', 'creation', 'python.exe', 12248)
('08/04/2022 15:03:04', 'creation', 'conhost.exe', 12364)
('08/04/2022 15:03:04', 'deletion', 'python.exe', 12248)
('08/04/2022 15:03:04', 'deletion', 'conhost.exe', 12364)
('08/04/2022 15:03:01', 'deletion', 'FileCoAuth.exe', 7228)
('08/04/2022 15:03:08', 'creation', 'conhost.exe', 11448)
('08/04/2022 15:03:08', 'creation', 'python.exe', 3540)
('08/04/2022 15:03:34', 'creation', 'conhost.exe', 10956)
('08/04/2022 15:03:34', 'creation', 'python.exe', 7344)
('08/04/2022 15:03:34', 'deletion', 'conhost.exe', 10956)
('08/04/2022 15:03:34', 'deletion', 'python.exe', 7344)
('08/04/2022 15:03:36', 'creation', 'conhost.exe', 11908)
('08/04/2022 15:03:36', 'deletion', 'conhost.exe', 11908)
('08/04/2022 15:03:48', 'creation', 'conhost.exe', 2740)
('08/04/2022 15:03:48', 'creation', 'python.exe', 8884)
('08/04/2022 15:03:48', 'deletion', 'conhost.exe', 2740)
('08/04/2022 15:03:48', 'deletion', 'python.exe', 8884)
('08/04/2022 15:03:08', 'deletion', 'conhost.exe', 11448)
('08/04/2022 15:03:08', 'deletion', 'python.exe', 3540)
('08/04/2022 15:04:00', 'creation', 'identity_helper.exe', 7084)
('08/04/2022 15:04:07', 'creation', 'conhost.exe', 10104)
('08/04/2022 15:04:07', 'creation', 'python.exe', 8180)
('08/04/2022 15:04:00', 'deletion', 'identity_helper.exe', 7084)
('08/04/2022 15:04:22', 'creation', 'python.exe', 10924)
('08/04/2022 15:04:22', 'creation', 'WerFault.exe', 12800)
('08/04/2022 15:04:22', 'creation', 'python.exe', 10924)
('08/04/2022 15:04:07', 'deletion', 'conhost.exe', 10104)
('08/04/2022 15:04:25', 'creation', 'wermgr.exe', 2252)
('08/04/2022 15:04:22', 'deletion', 'WerFault.exe', 12800)
('08/04/2022 15:04:07', 'deletion', 'python.exe', 8180)
('08/04/2022 15:04:22', 'deletion', 'python.exe', 10924)
('08/04/2022 15:04:25', 'deletion', 'wermgr.exe', 2252)
('08/04/2022 15:04:47', 'creation', 'python.exe', 6100)
('08/04/2022 15:04:47', 'creation', 'conhost.exe', 8168)
('08/04/2022 15:05:26', 'creation', 'dllhost.exe', 2364)
('08/04/2022 15:05:26', 'creation', 'dllhost.exe', 2364)
('08/04/2022 15:05:26', 'deletion', 'dllhost.exe', 2364)
('08/04/2022 15:02:26', 'deletion', 'svchost.exe', 11476)
('08/04/2022 15:06:26', 'creation', 'MicrosoftEdgeUpdate.exe', 7724)
('08/04/2022 14:28:05', 'deletion', 'Taskmgr.exe', 9544)
('08/04/2022 15:04:47', 'deletion', 'python.exe', 6100)
('08/04/2022 15:04:47', 'deletion', 'conhost.exe', 8168)
('08/04/2022 15:07:20', 'creation', 'git.exe', 1320)
('08/04/2022 15:07:20', 'creation', 'runnerw64.exe', 1328)
('08/04/2022 15:07:20', 'creation', 'conhost.exe', 9408)
('08/04/2022 15:07:20', 'deletion', 'git.exe', 1320)
('08/04/2022 15:07:20', 'deletion', 'runnerw64.exe', 1328)
('08/04/2022 15:07:20', 'deletion', 'conhost.exe', 9408)
('08/04/2022 15:07:22', 'creation', 'conhost.exe', 10472)
('08/04/2022 15:07:22', 'creation', 'python.exe', 9964)
('08/04/2022 15:07:22', 'deletion', 'conhost.exe', 10472)
('08/04/2022 15:07:22', 'deletion', 'python.exe', 9964)
('08/04/2022 15:08:17', 'creation', 'wermgr.exe', 10652)
('08/04/2022 15:08:17', 'deletion', 'wermgr.exe', 10652)
('08/04/2022 15:08:54', 'creation', 'python.exe', 1028)
('08/04/2022 15:08:54', 'creation', 'conhost.exe', 10560)
('08/04/2022 15:10:18', 'creation', 'conhost.exe', 2028)
('08/04/2022 15:10:18', 'creation', 'python.exe', 9860)
('08/04/2022 15:10:26', 'creation', 'audiodg.exe', 12156)
('08/04/2022 15:10:26', 'creation', 'svchost.exe', 2364)
('08/04/2022 15:10:26', 'creation', 'dllhost.exe', 11872)
('08/04/2022 15:10:26', 'creation', 'WUDFHost.exe', 12596)
('08/04/2022 15:10:27', 'creation', 'powershell.exe', 5452)
('08/04/2022 15:10:28', 'creation', 'LEDKeeper2.exe', 9496)
('08/04/2022 15:10:27', 'deletion', 'powershell.exe', 5452)
('08/04/2022 15:10:34', 'creation', 'powershell.exe', 8168)
('08/04/2022 15:10:35', 'creation', 'rundll32.exe', 4744)
('08/04/2022 15:10:34', 'deletion', 'powershell.exe', 8168)
('08/04/2022 15:10:37', 'creation', 'powershell.exe', 13016)
('08/04/2022 15:10:26', 'deletion', 'dllhost.exe', 11872)
('08/04/2022 15:10:37', 'deletion', 'powershell.exe', 13016)
('08/04/2022 15:10:41', 'creation', 'powershell.exe', 5812)
('08/04/2022 15:10:43', 'creation', 'rundll32.exe', 4072)
('08/04/2022 15:10:41', 'deletion', 'powershell.exe', 5812)
('08/04/2022 15:10:45', 'creation', 'powershell.exe', 8608)
('08/04/2022 15:10:45', 'deletion', 'powershell.exe', 8608)
('08/04/2022 15:10:28', 'deletion', 'LEDKeeper2.exe', 9496)
('08/04/2022 15:10:26', 'deletion', 'WUDFHost.exe', 12596)
('08/04/2022 15:10:49', 'creation', 'LEDKeeper2.exe', 2524)
('08/04/2022 15:10:49', 'creation', 'dllhost.exe', 9124)
('08/04/2022 15:10:49', 'deletion', 'dllhost.exe', 9124)
('08/04/2022 15:10:49', 'deletion', 'LEDKeeper2.exe', 2524)
('08/04/2022 14:02:47', 'deletion', 'GoogleUpdate.exe', 4440)
('08/04/2022 15:10:18', 'deletion', 'conhost.exe', 2028)
('08/04/2022 15:10:18', 'deletion', 'python.exe', 9860)
('08/04/2022 15:10:26', 'deletion', 'svchost.exe', 2364)
('08/04/2022 15:12:56', 'creation', 'python.exe', 11816)
('08/04/2022 15:12:56', 'creation', 'conhost.exe', 4708)
('08/04/2022 15:12:56', 'deletion', 'python.exe', 11816)
('08/04/2022 15:12:56', 'deletion', 'conhost.exe', 4708)
('08/04/2022 15:13:02', 'creation', 'FileCoAuth.exe', 12144)
('08/04/2022 15:13:02', 'deletion', 'FileCoAuth.exe', 12144)
('08/04/2022 15:13:34', 'creation', 'conhost.exe', 3712)
('08/04/2022 15:13:34', 'creation', 'python.exe', 8412)
('08/04/2022 15:13:34', 'deletion', 'conhost.exe', 3712)
('08/04/2022 15:13:34', 'deletion', 'python.exe', 8412)
('08/04/2022 15:14:10', 'creation', 'conhost.exe', 10720)
('08/04/2022 15:14:10', 'creation', 'python.exe', 2092)
('08/04/2022 15:14:11', 'creation', 'python.exe', 8200)
('08/04/2022 15:14:11', 'creation', 'conhost.exe', 896)
('08/04/2022 15:14:11', 'deletion', 'python.exe', 8200)
('08/04/2022 15:14:11', 'deletion', 'conhost.exe', 896)
('08/04/2022 15:08:54', 'deletion', 'python.exe', 1028)
('08/04/2022 15:14:16', 'creation', 'conhost.exe', 10680)
('08/04/2022 15:08:54', 'deletion', 'conhost.exe', 10560)
('08/04/2022 15:14:16', 'creation', 'python.exe', 13264)
('08/04/2022 15:14:18', 'creation', 'conhost.exe', 6592)
('08/04/2022 15:14:18', 'creation', 'git.exe', 8832)
('08/04/2022 15:14:18', 'creation', 'runnerw64.exe', 9220)
('08/04/2022 15:14:18', 'deletion', 'conhost.exe', 6592)
('08/04/2022 15:14:18', 'deletion', 'runnerw64.exe', 9220)
('08/04/2022 15:14:55', 'creation', 'git.exe', 13140)
('08/04/2022 15:14:55', 'creation', 'git.exe', 2496)
('08/04/2022 15:14:54', 'creation', 'runnerw64.exe', 6464)
('08/04/2022 15:14:54', 'creation', 'conhost.exe', 7480)
('08/04/2022 15:14:55', 'deletion', 'git.exe', 13140)
('08/04/2022 15:14:55', 'deletion', 'git.exe', 2496)
('08/04/2022 15:14:54', 'deletion', 'runnerw64.exe', 6464)
('08/04/2022 15:14:54', 'deletion', 'conhost.exe', 7480)
('08/04/2022 15:10:26', 'deletion', 'audiodg.exe', 12156)
('08/04/2022 15:17:03', 'creation', 'backgroundTaskHost.exe', 2568)
('08/04/2022 15:17:03', 'creation', 'dllhost.exe', 2924)
('08/04/2022 15:17:03', 'creation', 'dllhost.exe', 5316)
('08/04/2022 15:17:03', 'creation', 'svchost.exe', 9512)
('08/04/2022 15:17:04', 'creation', 'RuntimeBroker.exe', 12516)
('08/04/2022 15:17:03', 'deletion', 'backgroundTaskHost.exe', 2568)
('08/04/2022 15:17:05', 'creation', 'notepad.exe', 6428)
('08/04/2022 15:17:05', 'creation', 'smartscreen.exe', 9716)
('08/04/2022 15:17:06', 'creation', 'dllhost.exe', 12684)
('08/04/2022 15:17:03', 'deletion', 'dllhost.exe', 5316)
('08/04/2022 15:17:06', 'deletion', 'dllhost.exe', 12684)
('08/04/2022 15:17:04', 'deletion', 'RuntimeBroker.exe', 12516)
('08/04/2022 15:19:00', 'creation', 'identity_helper.exe', 6356)
('08/04/2022 15:19:00', 'deletion', 'identity_helper.exe', 6356)
('08/04/2022 15:19:43', 'creation', 'dllhost.exe', 10884)
('08/04/2022 15:19:43', 'deletion', 'dllhost.exe', 10884)
('08/04/2022 15:19:52', 'creation', 'SearchFilterHost.exe', 10748)
('08/04/2022 15:19:53', 'creation', 'dllhost.exe', 2496)
('08/04/2022 15:19:52', 'creation', 'SearchProtocolHost.exe', 8356)
('08/04/2022 15:17:05', 'deletion', 'notepad.exe', 6428)
('08/04/2022 15:19:53', 'deletion', 'dllhost.exe', 2496)
('08/04/2022 15:14:16', 'deletion', 'conhost.exe', 10680)
('08/04/2022 15:14:16', 'deletion', 'python.exe', 13264)
('08/04/2022 15:20:19', 'creation', 'conhost.exe', 7716)
('08/04/2022 15:20:19', 'creation', 'runnerw64.exe', 7720)
('08/04/2022 15:20:57', 'creation', 'python.exe', 4620)
('08/04/2022 15:20:57', 'creation', 'conhost.exe', 5996)
('08/04/2022 15:19:52', 'deletion', 'SearchFilterHost.exe', 10748)
('08/04/2022 15:19:52', 'deletion', 'SearchProtocolHost.exe', 8356)
('08/04/2022 15:21:06', 'deletion', 'python.exe', 3472)
