14/05/2022 22:09:59	 modification	 System Idle Process	 0	 NoneМБ		 0%
14/05/2022 22:09:59	 modification	 System Idle Process	 0	 NoneМБ		 0%
15/05/2022 23:33:48	 deletion	 identity_helper.exe	 21452	 1380МБ		 244%
14/05/2022 22:10:27	 modification	 GoogleCrashHandler.exe	 10984	 NoneМБ		 346%
14/05/2022 22:10:27	 modification	 GoogleCrashHandler.exe	 10984	 NoneМБ		 346%
15/05/2022 15:25:58	 modification	 csrss.exe	 11020	 NoneМБ		 63372%
15/05/2022 15:25:58	 modification	 csrss.exe	 11020	 NoneМБ		 63372%
15/05/2022 19:18:16	 modification	 explorer.exe	 11164	 1380МБ		 505707%
15/05/2022 19:18:16	 modification	 explorer.exe	 11164	 1380МБ		 505707%
14/05/2022 22:10:05	 modification	 svchost.exe	 1124	 NoneМБ		 83200%
14/05/2022 22:10:05	 modification	 svchost.exe	 1124	 NoneМБ		 83200%
15/05/2022 23:34:11	 creation	 SearchProtocolHost.exe	 32028	 32768МБ		 46%
14/05/2022 22:12:30	 modification	 ksde.exe	 11604	 NoneМБ		 4959143%
14/05/2022 22:12:30	 modification	 ksde.exe	 11604	 NoneМБ		 4959143%
14/05/2022 22:10:05	 modification	 svchost.exe	 1216	 NoneМБ		 21828%
14/05/2022 22:10:05	 modification	 svchost.exe	 1216	 NoneМБ		 21828%
15/05/2022 20:03:01	 modification	 chrome.exe	 12348	 1380МБ		 3057423%
15/05/2022 20:03:01	 modification	 chrome.exe	 12348	 1380МБ		 3057423%
15/05/2022 19:18:39	 modification	 Discord.exe	 12600	 1380МБ		 8322%
15/05/2022 19:18:39	 modification	 Discord.exe	 12600	 1380МБ		 8322%
15/05/2022 23:01:13	 modification	 chrome.exe	 12748	 1380МБ		 185%
15/05/2022 23:01:13	 modification	 chrome.exe	 12748	 1380МБ		 185%
15/05/2022 23:34:25	 creation	 chrome.exe	 23752	 1380МБ		 169%
15/05/2022 20:33:41	 modification	 chrome.exe	 14716	 1380МБ		 175%
15/05/2022 20:33:41	 modification	 chrome.exe	 14716	 1380МБ		 175%
15/05/2022 19:18:16	 modification	 svchost.exe	 14728	 1380МБ		 2429%
15/05/2022 19:18:16	 modification	 svchost.exe	 14728	 1380МБ		 2429%
15/05/2022 20:03:02	 modification	 chrome.exe	 15328	 1380МБ		 247639%
15/05/2022 20:03:02	 modification	 chrome.exe	 15328	 1380МБ		 247639%
15/05/2022 19:18:19	 modification	 ctfmon.exe	 17220	 NoneМБ		 24063%
15/05/2022 19:18:19	 modification	 ctfmon.exe	 17220	 NoneМБ		 24063%
15/05/2022 19:18:42	 modification	 Discord.exe	 17552	 1380МБ		 1461856%
15/05/2022 19:18:42	 modification	 Discord.exe	 17552	 1380МБ		 1461856%
15/05/2022 23:33:32	 deletion	 SearchProtocolHost.exe	 12696	 NoneМБ		 563%
14/05/2022 22:10:05	 modification	 svchost.exe	 1796	 NoneМБ		 5990%
14/05/2022 22:10:05	 modification	 svchost.exe	 1796	 NoneМБ		 5990%
15/05/2022 20:33:41	 modification	 chrome.exe	 18336	 1380МБ		 200%
15/05/2022 20:33:41	 modification	 chrome.exe	 18336	 1380МБ		 200%
15/05/2022 19:18:47	 modification	 AORUS.exe	 19808	 NoneМБ		 8432311%
15/05/2022 19:18:47	 modification	 AORUS.exe	 19808	 NoneМБ		 8432311%
15/05/2022 20:03:11	 modification	 chrome.exe	 20276	 1380МБ		 1778%
15/05/2022 20:03:11	 modification	 chrome.exe	 20276	 1380МБ		 1778%
15/05/2022 19:18:44	 modification	 Razer Central.exe	 20724	 1380МБ		 33973%
15/05/2022 19:18:44	 modification	 Razer Central.exe	 20724	 1380МБ		 33973%
15/05/2022 23:33:48	 modification	 identity_helper.exe	 21452	 1380МБ		 244%
15/05/2022 23:33:48	 modification	 identity_helper.exe	 21452	 1380МБ		 244%
15/05/2022 23:34:25	 deletion	 chrome.exe	 23752	 1380МБ		 169%
15/05/2022 19:18:42	 modification	 lghub_agent.exe	 21620	 1380МБ		 1384353%
15/05/2022 19:18:42	 modification	 lghub_agent.exe	 21620	 1380МБ		 1384353%
15/05/2022 21:03:50	 modification	 msedge.exe	 22112	 1380МБ		 225%
15/05/2022 21:03:50	 modification	 msedge.exe	 22112	 1380МБ		 225%
15/05/2022 22:06:13	 modification	 chrome.exe	 22440	 1380МБ		 198%
15/05/2022 22:06:13	 modification	 chrome.exe	 22440	 1380МБ		 198%
15/05/2022 19:18:16	 modification	 GamingHotkey.exe	 22456	 NoneМБ		 3522%
15/05/2022 19:18:16	 modification	 GamingHotkey.exe	 22456	 NoneМБ		 3522%
15/05/2022 21:03:54	 modification	 msedge.exe	 22460	 1380МБ		 218%
15/05/2022 21:03:54	 modification	 msedge.exe	 22460	 1380МБ		 218%
15/05/2022 19:18:44	 modification	 msedge.exe	 2272	 1380МБ		 66968%
15/05/2022 19:18:44	 modification	 msedge.exe	 2272	 1380МБ		 66968%
15/05/2022 15:25:58	 modification	 dwm.exe	 23120	 NoneМБ		 5315%
15/05/2022 15:25:58	 modification	 dwm.exe	 23120	 NoneМБ		 5315%
15/05/2022 21:19:59	 modification	 SndVol.exe	 24396	 1380МБ		 1097086%
15/05/2022 21:19:59	 modification	 SndVol.exe	 24396	 1380МБ		 1097086%
15/05/2022 19:18:47	 modification	 CLMLSvc_P2G8.exe	 24640	 1380МБ		 30891%
15/05/2022 19:18:47	 modification	 CLMLSvc_P2G8.exe	 24640	 1380МБ		 30891%
15/05/2022 19:18:47	 modification	 CLMLSvc_P2G8.exe	 24640	 1380МБ		 30891%
15/05/2022 19:18:47	 modification	 CLMLSvc_P2G8.exe	 24640	 1380МБ		 30891%
15/05/2022 19:18:47	 modification	 CLMLSvc_P2G8.exe	 24640	 1380МБ		 30891%
15/05/2022 19:18:47	 modification	 CLMLSvc_P2G8.exe	 24640	 1380МБ		 30891%
15/05/2022 19:18:47	 modification	 CLMLSvc_P2G8.exe	 24640	 1380МБ		 30891%
15/05/2022 19:18:47	 modification	 CLMLSvc_P2G8.exe	 24640	 1380МБ		 30891%
15/05/2022 19:18:47	 modification	 CLMLSvc_P2G8.exe	 24640	 1380МБ		 30891%
