модифицирована A:\\$RECYCLE.BIN | 00:33:34 13-06-2022
модифицирована A:\\System Volume Information | 00:34:45 13-06-2022
создана A:\\Новая папка | 00:53:51 13-06-2022
удалена A:\\Новая папка | 00:53:54 13-06-2022
модифицирована A:\\Zona Downloads | 01:01:50 13-06-2022
создана A:\\Новая папка | 01:01:53 13-06-2022
удалена A:\\Новая папка | 01:01:56 13-06-2022
создана A:\\Новая папка | 01:07:37 13-06-2022
модифицирована A:\\Новая папка | 01:07:39 13-06-2022
удалена A:\\Новая папка | 01:07:40 13-06-2022
создана A:\\Новая папка | 01:12:55 13-06-2022
удалена A:\\Новая папка | 01:12:57 13-06-2022
модифицирована A:\\Windows10Upgrade | 01:13:02 13-06-2022
модифицирована A:\\World of Warcraft | 01:13:02 13-06-2022
модифицирована A:\\WpSystem | 01:13:16 13-06-2022
создана A:\\Новый ярлык.lnk | 01:14:12 13-06-2022
создана A:\\~овый ярлык.tmp | 01:14:12 13-06-2022
модифицирована A:\\~овый ярлык.tmp | 01:14:12 13-06-2022
создана A:\\Новый ярлык.lnk~RF913caa.TMP | 01:14:13 13-06-2022
удалена A:\\Новый ярлык.lnk~RF913caa.TMP | 01:14:13 13-06-2022
перемещена A:\\Новый ярлык.lnk | 01:14:13 13-06-2022
перемещена A:\\~овый ярлык.tmp | 01:14:13 13-06-2022
модифицирована A:\\Новый ярлык.lnk | 01:14:13 13-06-2022
удалена A:\\Новый ярлык.lnk~RF913caa.TMP | 01:14:13 13-06-2022
модифицирована A:\\Новый ярлык.lnk | 01:14:13 13-06-2022
удалена A:\\Новый ярлык.lnk | 01:14:14 13-06-2022
создана A:\\Новая папка | 01:14:28 13-06-2022
модифицирована A:\\Новая папка | 01:14:30 13-06-2022
удалена A:\\Новая папка | 01:14:32 13-06-2022
модифицирована A:\\Riot Games | 01:16:07 13-06-2022
модифицирована C:\\Qt | 01:16:12 13-06-2022
создана C:\\Новая папка | 01:16:13 13-06-2022
удалена C:\\Новая папка | 01:16:18 13-06-2022
модифицирована A:\\Ubisoft Game Launcher | 01:17:28 13-06-2022
модифицирована C:\\ProgramData | 01:17:29 13-06-2022
создана A:\\Новая папка | 01:18:26 13-06-2022
модифицирована A:\\Новая папка | 01:18:29 13-06-2022
удалена A:\\Новая папка | 01:18:32 13-06-2022
создана C:\Новая папка | 13:03:46 13-06-2022
удалена C:\Новая папка | 13:03:51 13-06-2022
модифицирована C:\Курсы | 13:08:55 13-06-2022
модифицирована C:\Курсы | 13:08:55 13-06-2022
модифицирована C:\My Documents | 13:08:55 13-06-2022
модифицирована C:\My Documents | 13:08:55 13-06-2022
